,id,name,description,unit,status,calculationMethod,category,oldConvention,cfConvention,timeOffsets,sensorLevels,codeTable
42,cloud_area_fraction4,"Cloud cover (level 4, METAR)","Cloud cover (in octas) at height HS4 (metar code FEW, SCT, BKN or OVC converted to octas (2,4,6,8)). Cloud cover not known, code=-3, presented as '.'",octas,METNO-name,{'baseName': 'cloud_area_fraction4'},Clouds,"{'elementCodes': ['NS4'], 'unit': 'code'}",,{'values': ['PT20M']},,
43,cloud_base_height,Cloud base height,"Height of lowest cloud base, reported with code, converted to meters. Code -3 = cloud cover can not be estimated due to fog, drifting snow etc. Code -3 is presented as '.'  (in synop code=9))",meters,METNO-name,{'baseName': 'cloud_base_height'},Clouds,"{'elementCodes': ['HL'], 'unit': 'meters'}",,,,
44,cloud_base_height1,Cloud base height (lowest level),Height of cloud base 1 (clouds in group cloud_area_fraction1),meters,METNO-name,{'baseName': 'cloud_base_height1'},Clouds,"{'elementCodes': ['HS1'], 'unit': 'meters'}",,{'values': ['PT20M']},,
45,cloud_base_height2,Cloud base height (level 2),Height of cloud base 2 (clouds in group cloud_area_fraction2),meters,METNO-name,{'baseName': 'cloud_base_height2'},Clouds,"{'elementCodes': ['HS2'], 'unit': 'meter'}",,{'values': ['PT20M']},,
46,cloud_base_height3,Cloud base height (level 3),Height of cloud base 3 (clouds in group cloud_area_fraction3),meters,METNO-name,{'baseName': 'cloud_base_height3'},Clouds,"{'elementCodes': ['HS3'], 'unit': 'meters'}",,{'values': ['PT20M']},,
47,cloud_base_height4,Cloud base height (level 4),Height of cloud base 4 (clouds in group cloud_area_fraction4),meters,METNO-name,{'baseName': 'cloud_base_height4'},Clouds,"{'elementCodes': ['HS4'], 'unit': 'meters'}",,{'values': ['PT20M']},,
48,cloud_top_height1,Cloud base height (level 1),Height of cloud top of cloud base 1 (clouds in group cloud_area_fraction1),meters,METNO-name,{'baseName': 'cloud_top_height1'},Clouds,"{'elementCodes': ['HT1'], 'unit': 'meters'}",,{'values': ['PT0H']},,
49,cloud_top_height2,Cloud base height (level 2),Height of cloud top of cloud base 2 (clouds in group cloud_area_fraction2),meters,METNO-name,{'baseName': 'cloud_top_height2'},Clouds,"{'elementCodes': ['HT2'], 'unit': 'meters'}",,{'values': ['PT0H']},,
50,cloud_top_height3,Cloud base height (level 3),Height of cloud top of cloud base 3 (clouds in group cloud_area_fraction3),meters,METNO-name,{'baseName': 'cloud_top_height3'},Clouds,"{'elementCodes': ['HT3'], 'unit': 'meters'}",,{'values': ['PT0H']},,
51,cloud_top_height4,Cloud base height (level 4),Height of cloud top of cloud base 4 (clouds in group cloud_area_fraction4),meters,METNO-name,{'baseName': 'cloud_top_height4'},Clouds,"{'elementCodes': ['HT4'], 'unit': 'meters'}",,{'values': ['PT0H']},,
52,cloud_type1,"Genus of cloud, lowest cloud layer","Cloud type or genus of cloud for the lowest cloud layer, genus from WMO code table 0500. 1 refers to the layer with height cloud_base_height1 (HS1). Additional information for cloud_area_fraction1 (NS1)",code,METNO-name,{'baseName': 'cloud_type1'},Clouds,"{'elementCodes': ['CC1'], 'unit': 'code'}",,{'values': ['PT0H']},,cloud_type
53,cloud_type2,"Genus of cloud, second cloud layer","Cloud type or genus of cloud for the lowest cloud layer, genus from WMO code table 0500. 2 refers to the layer with height cloud_base_height2 (HS2). Additional information for cloud_area_fraction2 (NS2)",code,METNO-name,{'baseName': 'cloud_type2'},Clouds,"{'elementCodes': ['CC2'], 'unit': 'code'}",,{'values': ['PT0H']},,cloud_type
